name;time;threads
orca_1;241.80;1
orca_2;73.93;2
orca_3;44.02;3
orca_4;37.31;4
orca_5;27.78;5
orca_6;25.08;6
orca_7;20.42;7
orca_8;19.46;8
orca_9;17.51;9
orca_10;15.68;10
orca_11;14.53;11
orca_12;13.10;12
orca_13;12.39;13
orca_14;11.95;14
orca_15;12.58;15
orca_16;12.89;16
orca_17;10.72;17
orca_18;29.89;18
orca_19;10.45;19
orca_20;12.83;20
orca_21;11.09;21
orca_22;7.57;22
orca_23;10.75;23
orca_24;11.83;24
orca_25;11.82;25
orca_26;7.80;26
orca_27;6.64;27
orca_28;7.19;28
orca_29;10.17;29
orca_30;11.41;30
orca_31;11.37;31
orca_32;5.81;32
orca_33;5.75;33
orca_34;6.77;34
orca_35;6.29;35
orca_36;5.93;36
orca_37;4.65;37
orca_38;9.41;38
orca_39;6.52;39
orca_40;4.66;40
orca_41;4.99;41
orca_42;10.97;42
orca_43;10.93;43
orca_44;4.95;44
orca_45;11.02;45
orca_46;4.61;46
orca_47;4.32;47
orca_48;4.28;48
orca_49;5.47;49
orca_50;4.89;50
orca_51;5.30;51
orca_52;4.86;52
orca_53;4.45;53
orca_54;10.19;54
orca_55;4.29;55
orca_56;4.16;56
orca_57;4.12;57
orca_58;10.40;58
orca_59;4.37;59
orca_60;9.28;60
orca_61;5.62;61
orca_62;9.05;62
orca_63;3.82;63
orca_64;4.26;64
orca_65;4.01;65
orca_66;10.09;66
orca_67;6.00;67
orca_68;4.03;68
orca_69;3.99;69
orca_70;4.05;70
orca_71;10.69;71
orca_72;3.97;72
orca_73;10.79;73
orca_74;4.49;74
orca_75;9.31;75
orca_76;3.82;76
orca_77;3.96;77
orca_78;3.90;78
orca_79;3.77;79
orca_80;3.85;80
orca_81;4.24;81
orca_82;3.82;82
orca_83;3.95;83
orca_84;3.76;84
orca_85;3.89;85
orca_86;3.76;86
orca_87;8.98;87
orca_88;10.51;88
orca_89;4.07;89
orca_90;4.48;90
orca_91;9.38;91
orca_92;9.00;92
orca_93;3.71;93
orca_94;10.28;94
orca_95;8.71;95
orca_96;9.02;96
orca_97;3.84;97
orca_98;3.79;98
orca_99;3.71;99
orca_100;3.88;100
orca_101;3.69;101
orca_102;3.97;102
orca_103;3.80;103
orca_104;3.65;104
orca_105;3.77;105
orca_106;10.41;106
orca_107;3.74;107
orca_108;3.62;108
orca_109;9.40;109
orca_110;10.51;110
orca_111;3.69;111
orca_112;10.42;112
orca_113;9.04;113
orca_114;3.71;114
orca_115;3.69;115
orca_116;3.78;116
orca_117;3.75;117
orca_118;3.72;118
orca_119;3.59;119
orca_120;3.64;120
orca_121;3.76;121
orca_122;3.61;122
orca_123;3.98;123
orca_124;3.73;124
orca_125;10.21;125
orca_126;3.68;126
orca_127;3.64;127
orca_128;3.54;128
